start,end,file,Catharus guttatus_Hermit Thrush,Hylocichla mustelina_Wood Thrush,Piranga olivacea_Scarlet Tanager,Seiurus aurocapilla_Ovenbird,Turdus migratorius_American Robin,Sphyrapicus varius_Yellow-bellied Sapsucker,Poecile atricapillus_Black-capped Chickadee,Setophaga virens_Black-throated Green Warbler,Sitta canadensis_Red-breasted Nuthatch,Setophaga fusca_Blackburnian Warbler,Catharus fuscescens_Veery,Chaetura pelagica_Chimney Swift,Regulus satrapa_Golden-crowned Kinglet,Setophaga caerulescens_Black-throated Blue Warbler,Cyanocitta cristata_Blue Jay,Zonotrichia leucophrys_White-crowned Sparrow,Setophaga castanea_Bay-breasted Warbler,Dryocopus pileatus_Pileated Woodpecker,Pheucticus ludovicianus_Rose-breasted Grosbeak,Vireo flavifrons_Yellow-throated Vireo,Aegolius acadicus_Northern Saw-whet Owl
33.0,36.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_221200.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_213700.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_205200.WAV,,0.6240779757499695,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_205200.WAV,,0.5346754789352417,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_205200.WAV,,0.6346227526664734,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_205200.WAV,0.5701572299003601,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_205200.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_220900.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_210800.WAV,0.5384970903396606,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_210800.WAV,0.4948410093784332,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_210800.WAV,0.6304826140403748,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_210800.WAV,0.5318875312805176,0.6813325881958008,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_210800.WAV,0.7180564403533936,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_210800.WAV,0.6131787896156311,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_210800.WAV,0.9756227135658264,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_210800.WAV,0.6113091707229614,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_210800.WAV,,0.8564476370811462,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_210800.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_205000.WAV,0.6937822103500366,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_205000.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_202800.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_213500.WAV,,,,,,,,,,,,,,,,,,,,,
0.0,3.0,20250620_204900.WAV,,0.5227283239364624,,,,,,,,,,,,,,,,,,,
3.0,6.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
6.0,9.0,20250620_204900.WAV,,0.7265663146972656,,,,,,,,,,,,,,,,,,,
9.0,12.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
12.0,15.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
15.0,18.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
18.0,21.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
21.0,24.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
24.0,27.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
27.0,30.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
30.0,33.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
33.0,36.0,20250620_204900.WAV,,0.6497212648391724,,,,,,,,,,,,,,,,,,,
36.0,39.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
39.0,42.0,20250620_204900.WAV,0.4228084683418274,,,,,,,,,,,,,,,,,,,,
42.0,45.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
45.0,48.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
48.0,51.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
51.0,54.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
54.0,55.0,20250620_204900.WAV,,,,,,,,,,,,,,,,,,,,,
